           i      z(i)
           0 (23922.6306025838,-2.442625907406182E-006)
           1 (-5382.16398495757,-1.149326347435719E-005)
           2 (1339.56545921520,2.909913977493989E-004)
           3 (3.59653339926577,-4.722162337181850E-005)
           4 (-0.849389295781377,-6.877634096693869E-003)
           5 (0.113383275256625,-2.264829538506165E-002)
           6 (1.268868767168537E-002,-5.744875667580377E-002)
           7 (0.111023729726492,2.524937891637652E-002)
           8 (-1.706663656695325E-002,1.758258920597412E-002)
           9 (-9.128717001964318E-002,-0.169975405651329)
          10 (-0.246108990012059,-0.227102051930026)
          11 (0.910064308712865,1.91565090943912)
          12 (-3.34933132662581,-2.08892717564625)
          13 (2.16964544732312,-5.77353635706766)
          14 (9.47856813203254,7.46601363908475)
          15 (13.4891377856172,-31.5942146910720)
          16 (-63.1443008089403,11.6783953521228)
          17 (-183.702366646195,-71.2916508901742)
          18 (-115.249864629690,1.13595411936628)
          19 (-25.9366525796879,310.350487087479)
          20 (50.0555916574654,-866.994432444119)
